index,control_s_m,best_offset_m,lower_bound_m,upper_bound_m
0,0.0,1.890625,-4.75,4.75
1,89.2966404175,2.953125,-4.75,4.75
2,178.593280835,-0.8125,-3.75,3.75
3,198.07618067085403,-3.71875,-3.75,3.75
4,217.55908050670806,-1.828125,-3.75,3.75
5,304.61561658070804,2.328125,-3.75,3.75
6,340.00685107963386,3.53125,-3.75,3.75
7,375.39808557855974,2.8125,-3.75,3.75
8,410.7893200774856,3.6875,-3.75,3.75
9,446.18055457641145,1.09375,-3.75,3.75
10,527.9055737816615,-2.75,-3.75,3.75
11,609.6305929869114,0.4375,-3.75,3.75
12,691.3556121921615,3.0625,-3.75,3.75
13,773.0806313974115,-1.3125,-3.75,3.75
14,797.0385290589925,-3.75,-3.75,3.75
15,820.9964267205735,-3.3125,-3.75,3.75
16,838.7591772559754,-3.515625,-3.75,3.75
17,856.5219277913774,-3.34375,-3.75,3.75
18,909.1402115549178,-2.484375,-3.75,3.75
19,961.758495318458,1.03125,-3.75,3.75
20,1029.5951701657914,3.734375,-3.75,3.75
21,1097.4318450131248,3.71875,-3.75,3.75
22,1165.2685198604581,1.328125,-3.75,3.75
23,1250.0536778254461,-3.34375,-3.75,3.75
24,1334.8388357904341,-3.25,-3.75,3.75
25,1419.623993755422,1.515625,-3.75,3.75
26,1490.3763260420885,3.53125,-3.75,3.75
27,1561.1286583287551,2.84375,-3.75,3.75
28,1631.880990615422,-2.03125,-3.75,3.75
29,1642.1179538781473,-3.703125,-3.75,3.75
30,1652.3549171408729,-3.640625,-3.75,3.75
31,1662.5918804035982,-3.71875,-3.75,3.75
32,1672.8288436663236,-2.625,-3.75,3.75
33,1721.7357945043236,2.484375,-3.75,3.75
34,1754.944609083374,3.515625,-3.75,3.75
35,1824.7755745725183,2.78125,-3.75,3.75
36,1894.6065400616626,3.71875,-3.75,3.75
37,1964.4375055508067,-0.546875,-3.75,3.75
38,2053.08494511014,-3.375,-3.75,3.75
39,2141.7323846694735,0.53125,-3.75,3.75
40,2230.3798242288067,-1.890625,-3.75,3.75
41,2243.070053873499,-3.71875,-3.75,3.75
42,2255.760283518192,-3.125,-3.75,3.75
43,2281.414801489582,-3.65625,-3.75,3.75
44,2307.0693194609717,-2.640625,-3.75,3.75
45,2325.3818070789716,0.4375,-3.75,3.75
46,2353.7936099890376,3.6875,-3.75,3.75
47,2382.2054128991035,2.0,-3.75,3.75
48,2409.3274154371034,-1.625,-3.75,3.75
49,2429.1234486006797,-3.75,-3.75,3.75
50,2448.9194817642556,-0.875,-4.75,4.75
51,2503.0538293962554,4.25,-4.75,4.75
