index,control_s_m,best_offset_m,lower_bound_m,upper_bound_m
0,0.0,0.5,-4.75,4.75
1,89.2966404175,1.0,-4.75,4.75
2,178.593280835,0.5,-3.75,3.75
3,198.07618067085403,-1.75,-3.75,3.75
4,217.55908050670809,0.5,-3.75,3.75
5,304.61561658070804,1.75,-3.75,3.75
6,340.00685107963386,3.5,-3.75,3.75
7,375.3980855785597,2.5,-3.75,3.75
8,410.7893200774856,3.0,-3.75,3.75
9,446.18055457641145,0.25,-3.75,3.75
10,527.9055737816615,-1.0,-3.75,3.75
11,609.6305929869114,0.0,-3.75,3.75
12,691.3556121921615,0.0,-3.75,3.75
13,773.0806313974115,-0.25,-3.75,3.75
14,797.0385290589925,-2.0,-3.75,3.75
15,820.9964267205735,-2.25,-3.75,3.75
16,838.7591772559754,-3.5,-3.75,3.75
17,856.5219277913774,-3.25,-3.75,3.75
18,909.1402115549178,-3.0,-3.75,3.75
19,961.758495318458,-1.25,-3.75,3.75
20,1029.5951701657914,-0.5,-3.75,3.75
21,1097.4318450131248,0.0,-3.75,3.75
22,1165.268519860458,0.0,-3.75,3.75
23,1250.053677825446,-3.0,-3.75,3.75
24,1334.838835790434,-3.0,-3.75,3.75
25,1419.623993755422,0.0,-3.75,3.75
26,1490.3763260420883,1.75,-3.75,3.75
27,1561.1286583287551,0.5,-3.75,3.75
28,1631.880990615422,-1.75,-3.75,3.75
29,1642.117953878147,-3.0,-3.75,3.75
30,1652.3549171408729,-2.75,-3.75,3.75
31,1662.5918804035982,-3.5,-3.75,3.75
32,1672.8288436663236,-3.0,-3.75,3.75
33,1721.7357945043236,0.0,-3.75,3.75
34,1754.944609083374,2.0,-3.75,3.75
35,1824.7755745725185,2.5,-3.75,3.75
36,1894.6065400616624,3.25,-3.75,3.75
37,1964.4375055508067,0.5,-3.75,3.75
38,2053.08494511014,0.0,-3.75,3.75
39,2141.732384669473,-0.75,-3.75,3.75
40,2230.3798242288067,-1.5,-3.75,3.75
41,2243.070053873499,-3.5,-3.75,3.75
42,2255.760283518192,-3.0,-3.75,3.75
43,2281.414801489582,-3.25,-3.75,3.75
44,2307.069319460972,-2.5,-3.75,3.75
45,2325.381807078972,0.5,-3.75,3.75
46,2353.7936099890376,3.5,-3.75,3.75
47,2382.2054128991035,2.0,-3.75,3.75
48,2409.327415437104,-1.5,-3.75,3.75
49,2429.12344860068,-3.75,-3.75,3.75
50,2448.919481764256,-1.0,-4.75,4.75
51,2503.0538293962554,0.25,-4.75,4.75
