seq,role,note,easting_m,northing_m
1,"start finish","",270778.883038345084060,6188979.605572527274489
2,"","end of start/finish straight",270591.178694524453022,6188976.459310929290950
3,"","mid corner turn 1",270578.211485449050087,6188982.640386727638543
4,"","end turn 1",270563.446386878029443,6188995.559847977012396
5,"","start turn 2",270512.042592284851708,6189058.443894431926310
6,"","mid corner turn 2",270481.292351012234576,6189078.068420268595219
7,"","mid corner turn 2",270449.769490612146910,6189068.487943087704480
8,"","mid corner turn 2",270428.599726519896649,6189039.437463895417750
9,"","end of turn 2",270436.016870143474080,6189002.969841079786420
10,"","start of turn 3",270606.820850255433470,6188727.177656509913504
11,"","mid corner turn 3",270613.023610522563104,6188696.163855174556375
12,"","mid corner turn 3",270596.187546940345783,6188670.466705496422946
13,"","mid corner turn 3",270547.894627717731055,6188682.429171726107597
14,"","end of turn 3",270501.373925714287907,6188724.519330681301653
15,"","start of turn 4",270386.622860772418790,6188911.488247304223478
16,"","mid corner turn 4",270354.722950827272143,6189019.150443370454013
17,"","end of turn 4",270379.090937590983231,6189139.218159969896078
18,"","start of turn 5",270486.825598130992148,6189334.382064795121551
19,"","mid corner turn 5",270506.734571040899027,6189341.426778285764158
20,"","end of turn 5",270516.229619659483433,6189324.580724284984171
21,"","start of turn 6",270516.842203441308811,6189278.330648756586015
22,"","mid corner turn 6",270570.749576243571937,6189186.136789589188993
23,"","end of turn 6",270689.590829921187833,6189142.030757295899093
24,"","start of turn 7",270959.127693932270631,6189146.318843767978251
25,"","mid corner turn 7",270973.829704696487170,6189140.193005949258804
26,"","mid corner turn 7",270979.036666842177510,6189122.121784385293722
27,"","mid corner turn 7",270972.910829023749102,6189100.681352020241320
28,"","end of turn 7",270958.821402041357942,6189088.735968274064362
29,"","start of turn 8",270937.993553458654787,6189078.015752092003822
30,"","mid corner turn 8",270921.760083239816595,6189061.169698091223836
31,"","end of turn 8",270913.490202184941154,6189032.378260345198214
32,"","startof turn 9",270912.571326512144879,6189004.505698271095753
33,"","mid corner turn 9",270904.914029239094816,6188989.803687506355345
34,"","end of turn 9",270883.167304983653594,6188982.452682124450803
